City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
341,San Patricio,US,70.21,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
344,Hervey Bay,AU,72.03,broken clouds,-25.2986,152.8535,Shelly Bay Resort
350,Margate,GB,55.11,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
351,Korem,ET,56.62,scattered clouds,12.5058,39.5228,Lakomeliza Hotel
353,Nara,JP,60.08,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
361,Blejesti,RO,60.13,scattered clouds,44.3,25.4667,Balta Valea Lunga
362,Kirkuk,IQ,68.56,clear sky,35.4681,44.3922,تل عبدالعزيز
376,Wuzhou,CN,74.86,scattered clouds,23.4833,111.3167,Wuzhou Hostel
379,Wigston,GB,55.29,overcast clouds,52.5863,-1.1059,"Holiday Inn Express Leicester City, an IHG Hotel"
380,Bridlington,GB,56.28,overcast clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
383,Bahia Blanca,AR,69.58,broken clouds,-38.7196,-62.2724,Hotel Argos
386,Tura,IN,63.1,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
387,Saldanha,ZA,62.65,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
388,Alofi,NU,73.29,light rain,-19.0595,-169.9187,Taloa Heights
402,Lima,PE,66.13,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
403,Kawalu,ID,73.54,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
405,Boulder City,US,73.33,clear sky,35.9786,-114.8325,Boulder Dam Hotel
406,Ponta Delgada,PT,70.52,few clouds,37.7333,-25.6667,Vila Nova Hotel
409,Sao Joaquim,BR,63.64,broken clouds,-28.2939,-49.9317,Pousada Alternativa Cravo e Canela
415,Griffith,US,56.08,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
417,Bam,IR,60.28,clear sky,29.106,58.357,Bam Tourist Hotel
419,Suez,EG,72.82,clear sky,29.9737,32.5263,Green House
420,Pell City,US,59.81,clear sky,33.5862,-86.2861,Hampton Inn Pell City
421,Flinders,AU,65.48,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
425,Shingu,JP,59.63,overcast clouds,33.7333,135.9833,Shingu UI Hotel
435,Isangel,VU,72.05,overcast clouds,-19.55,169.2667,Tanna Lodge
445,Talcahuano,CL,56.88,overcast clouds,-36.7167,-73.1167,departamento comodo
451,Tocopilla,CL,69.26,few clouds,-22.092,-70.1979,Hotel Galvarino
460,Iberia,US,60.76,overcast clouds,29.9502,-91.7507,back to back rv park
463,Khowst,AF,56.7,clear sky,33.3833,69.8833,وچه خوړه،Wacha Khwara
464,Pacific Grove,US,61.95,overcast clouds,36.6177,-121.9166,Lovers Point Inn
469,Ilo,PE,68.86,clear sky,-17.6394,-71.3375,Torreblanca Hotel
471,Walvis Bay,NA,68.95,broken clouds,-22.9575,14.5053,Oyster Box Guesthouse
473,Luorong,CN,71.82,broken clouds,24.4058,109.6086,荣立大酒店
478,Pierre,US,61.29,clear sky,44.3683,-100.351,Ramkota Hotel
481,Lincoln,US,61.0,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
492,Camana,PE,68.94,broken clouds,-16.6228,-72.7111,Hostal Morales
494,Lagoa,PT,68.23,overcast clouds,39.05,-27.9833,Casa Das Faias
498,Ngunguru,NZ,55.17,scattered clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
512,Shimoda,JP,57.11,moderate rain,34.6667,138.95,Shimoda Tokyu Hotel
520,Nanning,CN,72.05,light rain,22.8167,108.3167,Nanning Travelling With Hostel
525,Byron Bay,AU,66.15,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
536,Santa Maria,BR,72.7,overcast clouds,-29.6842,-53.8069,Hotel Morotin
540,Hutchinson,US,58.03,clear sky,38.0608,-97.9298,OYO Hotel Hutchinson KS West 4th Ave
542,Pescia,IT,56.61,few clouds,43.897,10.6904,Villa delle Rose
