City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Progreso,MX,2021-11-05 23:17:34,21.2833,-89.6667,78.12,75,18,12.53
131,Santiago Del Estero,AR,2021-11-05 23:17:34,-27.7951,-64.2615,57.74,49,100,15.73
132,Georgetown,MY,2021-11-05 23:16:39,5.4112,100.3354,78.89,92,20,3.44
133,Garut,ID,2021-11-05 23:18:35,-7.2024,107.8878,70.23,93,100,2.06
134,Nemuro,JP,2021-11-05 23:18:35,43.3236,145.575,47.44,66,14,8.25
135,Mecca,SA,2021-11-05 23:18:36,21.4267,39.8261,79.14,56,5,2.48
136,Fortuna,US,2021-11-05 23:18:36,40.5982,-124.1573,55.42,74,75,7.0
137,Ogulin,HR,2021-11-05 23:18:36,45.2661,15.2286,50.83,95,100,5.64
138,Jumla,NP,2021-11-05 23:18:37,29.2747,82.1838,40.08,45,10,4.92
139,Harper,LR,2021-11-05 23:18:37,4.375,-7.7169,78.62,86,56,7.7
140,Pevek,RU,2021-11-05 23:18:38,69.7008,170.3133,-12.24,95,16,6.62
141,Boa Vista,BR,2021-11-05 23:18:38,2.8197,-60.6733,87.78,51,0,5.75
142,Kruisfontein,ZA,2021-11-05 23:18:38,-34.0033,24.7314,58.68,81,100,4.99
143,San Luis Obispo,US,2021-11-05 23:16:08,35.3666,-120.5343,75.47,53,1,16.11
144,Tiksi,RU,2021-11-05 23:18:39,71.6872,128.8694,5.09,79,100,25.23
145,Svetlogorsk,BY,2021-11-05 23:18:39,52.6333,29.7333,45.61,73,98,11.1
146,Nome,US,2021-11-05 23:18:40,64.5011,-165.4064,28.47,74,90,14.97
147,Hasaki,JP,2021-11-05 23:18:40,35.7333,140.8333,55.8,59,1,12.39
148,Police Nad Metuji,CZ,2021-11-05 23:18:41,50.5369,16.2335,43.27,94,99,6.85
149,Salalah,OM,2021-11-05 23:17:40,17.0151,54.0924,75.29,78,20,3.44
150,Sao Filipe,CV,2021-11-05 23:18:41,14.8961,-24.4956,80.35,70,27,9.53
151,Suleja,NG,2021-11-05 23:18:42,9.1758,7.1808,74.88,84,66,0.94
152,New Norfolk,AU,2021-11-05 23:18:42,-42.7826,147.0587,70.66,53,75,1.01
153,Camacha,PT,2021-11-05 23:18:43,33.0833,-16.3333,63.82,63,75,13.8
154,Bafoulabe,ML,2021-11-05 23:18:43,13.8065,-10.8321,84.15,44,52,0.87
155,Udachnyy,RU,2021-11-05 23:18:43,66.4167,112.4,1.58,91,18,10.78
156,Qaanaaq,GL,2021-11-05 23:18:44,77.484,-69.3632,11.23,68,93,11.25
157,Penzance,GB,2021-11-05 23:18:44,50.1186,-5.5371,52.81,78,99,11.72
158,Ahipara,NZ,2021-11-05 23:18:45,-35.1667,173.1667,67.01,72,11,4.94
159,Partizan,RU,2021-11-05 23:18:45,53.9502,38.098,54.18,93,100,15.73
160,Argentan,FR,2021-11-05 23:18:45,48.75,-0.0167,37.17,88,35,2.53
161,Yar-Sale,RU,2021-11-05 23:18:46,66.8333,70.8333,18.01,89,63,8.68
162,Farah,AF,2021-11-05 23:18:47,32.5,62.5,46.54,27,13,3.49
163,Saint George,US,2021-11-05 23:18:47,37.1041,-113.5841,81.07,25,1,1.01
164,Curitibanos,BR,2021-11-05 23:18:48,-27.2828,-50.5844,64.71,91,75,1.41
165,Arlit,NE,2021-11-05 23:15:33,18.7369,7.3853,82.13,15,3,6.78
166,Margate,GB,2021-11-05 23:18:48,51.3813,1.3862,49.03,76,73,1.99
167,Mehamn,NO,2021-11-05 23:18:49,71.0357,27.8492,37.31,99,100,18.88
168,Saskylakh,RU,2021-11-05 23:18:49,71.9167,114.0833,0.09,91,95,18.48
169,Ostersund,SE,2021-11-05 23:18:49,63.1792,14.6357,36.61,87,20,14.97
170,Victoria,HK,2021-11-05 23:15:34,22.2855,114.1577,77.32,91,12,1.01
171,Jamestown,US,2021-11-05 23:18:28,42.097,-79.2353,39.72,60,90,0.0
172,Lulea,SE,2021-11-05 23:18:50,65.5842,22.1547,32.07,100,43,2.3
173,La Libertad,EC,2021-11-05 23:18:51,-2.2333,-80.9,71.26,83,90,6.91
174,Tessalit,ML,2021-11-05 23:18:51,20.1986,1.0114,82.29,15,0,7.38
175,Koslan,RU,2021-11-05 23:18:52,63.4564,48.8989,40.66,94,100,12.37
176,Puerto Gaitan,CO,2021-11-05 23:14:12,4.3133,-72.0816,80.85,69,79,6.64
177,Bluff,NZ,2021-11-05 23:16:15,-46.6,168.3333,61.81,63,37,7.11
178,Tasiilaq,GL,2021-11-05 23:19:53,65.6145,-37.6368,17.98,88,100,9.06
179,Chifeng,CN,2021-11-05 23:19:53,42.2683,118.9636,32.76,44,93,15.75
180,Olden,NO,2021-11-05 23:19:54,61.8364,6.8064,46.9,99,99,7.85
181,Shelburne,CA,2021-11-05 23:15:49,44.0787,-80.2041,41.18,70,35,7.23
182,Tecpan,GT,2021-11-05 23:19:54,14.7623,-90.9947,61.56,87,95,4.99
183,Praia,CV,2021-11-05 23:19:55,14.9215,-23.5087,77.54,83,40,13.8
184,Kindu,CD,2021-11-05 23:19:55,-2.95,25.95,70.95,92,100,2.33
