City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
163,Hirara,JP,2021-11-06 17:17:31,24.8,125.2833,77.38,74,92,12.37,overcast clouds
164,Gallup,US,2021-11-06 17:17:31,35.5281,-108.7426,56.16,37,1,4.61,clear sky
165,Guerrero Negro,MX,2021-11-06 17:17:32,27.9769,-114.0611,71.69,62,3,4.85,clear sky
166,San Cristobal,VE,2021-11-06 17:17:32,7.7669,-72.225,82.58,44,53,9.06,broken clouds
167,Inhambane,MZ,2021-11-06 17:17:32,-23.865,35.3833,75.34,85,70,14.52,broken clouds
168,Tautira,PF,2021-11-06 17:17:33,-17.7333,-149.15,80.62,78,85,6.76,light rain
169,Ouadda,CF,2021-11-06 17:17:33,8.0777,22.4007,75.47,69,75,3.47,light rain
170,Nikolskoye,RU,2021-11-06 17:17:34,59.7035,30.7861,39.87,90,63,6.26,light rain
171,Skibbereen,IE,2021-11-06 17:17:34,51.55,-9.2667,55.2,85,100,17.02,overcast clouds
172,Namibe,AO,2021-11-06 17:17:34,-15.1961,12.1522,71.4,79,96,12.93,light rain
173,Sarakhs,IR,2021-11-06 17:17:35,36.5449,61.1577,40.6,20,100,3.53,overcast clouds
174,Ilulissat,GL,2021-11-06 17:17:35,69.2167,-51.1,19.42,49,75,13.8,broken clouds
175,Tezu,IN,2021-11-06 17:17:36,27.9167,96.1667,62.87,41,18,4.94,few clouds
176,Dmytrivka,UA,2021-11-06 17:17:36,45.9717,28.9864,54.03,52,99,7.7,overcast clouds
177,Georgetown,MY,2021-11-06 17:14:29,5.4112,100.3354,80.53,90,20,8.05,few clouds
178,Kirakira,SB,2021-11-06 17:17:37,-10.4544,161.9205,79.27,84,21,6.31,few clouds
179,Port Hardy,CA,2021-11-06 17:15:50,50.6996,-127.4199,41.0,100,75,3.44,broken clouds
180,Bambous Virieux,MU,2021-11-06 17:17:37,-20.3428,57.7575,76.21,83,40,11.5,scattered clouds
181,Bilma,NE,2021-11-06 17:18:38,18.6853,12.9164,85.42,12,4,4.92,clear sky
182,Sola,VU,2021-11-06 17:18:38,-13.8833,167.55,80.13,75,93,9.86,overcast clouds
183,Rengali,IN,2021-11-06 17:18:39,21.6333,84.05,66.58,55,1,2.13,clear sky
